Row Labels,Sum of numeric
2-Jan,400
3-Jan,70
4-Jan,50
5-Jan,70
6-Jan,139
8-Jan,470
9-Jan,150
10-Jan,-60
11-Jan,40
12-Jan,493
13-Jan,38
14-Jan,270
15-Jan,550
16-Jan,40
17-Jan,491
18-Jan,60
19-Jan,77
20-Jan,330
21-Jan,1255
22-Jan,982
23-Jan,95
24-Jan,-6000
25-Jan,71
26-Jan,6681
27-Jan,30
28-Jan,-360
29-Jan,1002
30-Jan,200
31-Jan,300
1-Feb,55
2-Feb,387
3-Feb,60
4-Feb,430
5-Feb,310
7-Feb,433
9-Feb,40
10-Feb,20
11-Feb,366
14-Feb,950
17-Feb,558
18-Feb,1488
19-Feb,647
20-Feb,-665
21-Feb,659
25-Feb,605
26-Feb,130
28-Feb,473
4-Mar,1760
5-Mar,1300
7-Mar,34
11-Mar,904
12-Mar,400
16-Mar,220
19-Mar,-3000
20-Mar,310
22-Mar,294
23-Mar,430
24-Mar,3300
25-Mar,468
26-Mar,264
29-Mar,1130
30-Mar,100
31-Mar,240
1-Apr,198
2-Apr,1078
3-Apr,-222
4-Apr,545
5-Apr,530
6-Apr,485
7-Apr,385
8-Apr,2442
9-Apr,105
10-Apr,120
11-Apr,1430
12-Apr,20
13-Apr,1639
14-Apr,2200
15-Apr,264
16-Apr,50
17-Apr,10
23-Apr,50
24-Apr,290
26-Apr,266
27-Apr,836
28-Apr,800
30-Apr,505
2-May,170
3-May,1876
4-May,2092
5-May,99
6-May,500
8-May,994
10-May,-100
11-May,120
12-May,116
13-May,604
14-May,150
15-May,1423
16-May,1360
17-May,590
18-May,200
19-May,385
23-May,330
24-May,35
25-May,195
26-May,535
27-May,495
29-May,35
30-May,549
31-May,-238
1-Jun,1435
3-Jun,50
5-Jun,320
6-Jun,532
7-Jun,1650
8-Jun,590
9-Jun,520
10-Jun,25
11-Jun,194
12-Jun,2390
13-Jun,388
15-Jun,25
16-Jun,10
18-Jun,30
19-Jun,240
20-Jun,25
21-Jun,250
22-Jun,245
23-Jun,1034
24-Jun,460
25-Jun,200
26-Jun,1221
27-Jun,50
29-Jun,200
30-Jun,300
1-Jul,205
2-Jul,361
3-Jul,462
4-Jul,1866
5-Jul,735
6-Jul,190
7-Jul,500
8-Jul,217
9-Jul,414
10-Jul,830
11-Jul,190
12-Jul,200
14-Jul,10
15-Jul,35
16-Jul,290
17-Jul,10
18-Jul,490
19-Jul,272
20-Jul,1355
23-Jul,335
24-Jul,1100
26-Jul,396
28-Jul,1668
29-Jul,430
30-Jul,20
2-Aug,1140
4-Aug,50
5-Aug,130
6-Aug,2774
7-Aug,-360
9-Aug,450
11-Aug,289
12-Aug,679
13-Aug,1050
14-Aug,4252
15-Aug,803
17-Aug,300
20-Aug,235
21-Aug,300
22-Aug,1320
23-Aug,450
25-Aug,1272
26-Aug,1000
28-Aug,490
29-Aug,187
3-Sep,387
4-Sep,105
5-Sep,530
6-Sep,700
7-Sep,711
8-Sep,2203
9-Sep,-139
10-Sep,625
11-Sep,380
12-Sep,500
13-Sep,3579
14-Sep,212
15-Sep,1760
16-Sep,707
17-Sep,3527
18-Sep,790
23-Sep,700
25-Sep,565
26-Sep,583
28-Sep,1108
29-Sep,1780
30-Sep,1164
1-Oct,400
2-Oct,80
3-Oct,-135
4-Oct,-1300
5-Oct,55
6-Oct,2889
7-Oct,155
8-Oct,1080
9-Oct,735
10-Oct,1093
11-Oct,1055
12-Oct,560
13-Oct,465
14-Oct,2035
15-Oct,360
16-Oct,262
17-Oct,383
18-Oct,455
19-Oct,230
20-Oct,180
21-Oct,1120
22-Oct,530
23-Oct,347
24-Oct,175
25-Oct,660
26-Oct,371
27-Oct,690
28-Oct,1356
29-Oct,190
30-Oct,391
31-Oct,-750
1-Nov,162
2-Nov,765
3-Nov,1418
4-Nov,115
5-Nov,13
6-Nov,838
7-Nov,495
8-Nov,120
9-Nov,303
10-Nov,299
11-Nov,952
12-Nov,1000
13-Nov,79
14-Nov,1069
15-Nov,1755
16-Nov,928
17-Nov,60
18-Nov,2100
19-Nov,1210
20-Nov,79
21-Nov,79
22-Nov,59
23-Nov,867
24-Nov,870
25-Nov,119
26-Nov,500
28-Nov,224
29-Nov,1246
30-Nov,201
1-Dec,829
2-Dec,1966
3-Dec,785
4-Dec,1723
5-Dec,135
6-Dec,858
7-Dec,229
8-Dec,6541
9-Dec,8115
10-Dec,385
11-Dec,2206
13-Dec,121
14-Dec,390
15-Dec,7722
Grand Total,179875
